X;Y;ADRESSE_HA;ADRESSE_PL;ADRESSE_ST;OEFFNUNG;BEZEICHN_3;CATEGORY;LINKS_URL;;;
7.8481515;47.9883296;17;79102;Günterstalstraße;Di, Do 14-16 Uhr;Kinderbüro;Kinder und Jugendliche;http://www.freiburg.de/kinderbuero;;;
7.8517806;47.9892409;2;79102;Uhlandstraße;Mo-Fr 10-14 Uhr;Jugendbildungswerk Freiburg e. V.;Kinder und Jugendliche;http://www.jbw.de;;;
7.8536555;47.9975672;1;79098;Auf der Zinnen;;Amt für Wohnraumversorgung: Vermittlung von Privatwohnraum für Flüchtlinge;Flüchtlinge;;;;
7.8520221;48.0116545;36;79106;Komturstraße;Mo-Do 9-12 Uhr, Mo-Do 14-17 Uhr;Anlauf- und Vermittlungsstelle für Flüchtlinge aus dem Stadtgebiet Freiburg;Flüchtlinge;;;;
7.8650321;48.0036985;12;79104;Immentalstraße;Mo-Do 9-12 Uhr, Mo-Do 14-17 Uhr;Caritas Flüchtlingsdienst;Flüchtlinge;http://www.caritas-freiburg.de/fachdienst-migration.html;;;
7.85327;47.99495;30;79098;Münsterplatz;Mo-Do 9-12 Uhr, 13-17 Uhr;Kulturamt Stadt Freiburg;Kultur und Medien;http://www.freiburg.de/kulturamt;;;
7.8550148;47.9903146;6;79102;Schwarzwaldstraße;Mo-Fr 9.30-12 Uhr, 16-18 Uhr/p>;Patronato Acli Freiburg (Christliche Vereinigung italienischer Arbeitnehmer);Ankommen in Freiburg;http://www.acli.de;;;
7.86526;48.33907;31;77933;Lotzbeckstraße;;Industrie- und Handelskammer Südlicher Oberrhein Hauptgeschäftsstelle Lahr;Arbeit, Beruf, Ausbildung;http://www.suedlicher-oberrhein.ihk.de;;;
7.8226307;48.0049455;8;79110;Sundgauallee;Mo-Do. 10-20 Uhr Mo-Do. 10-20 UIhrMo-Do. 10-20 UIhr Mo-Do. 10-20 Uhr Di 14 Uhr-17 UhrFr 9 Uhr-12 Uhr;MBE Caritasverband Freiburg-Stadt;Ankommen in Freiburg;;;;
7.8492296;47.9906523;5;79098;Dreisamstraße;Mo 9 Uhr-12 Uhr, Mi 10 Uhr-15 Uhr und nach Vereinbarung;MBE Deutsches Rotes Kreuz;Ankommen in Freiburg;;;;
7.8102699;47.9941531;7;79114;Krozinger Straße;Di 14-17; Do 10-12 Uhr;MBE Diakonisches Werk Freiburg;;;;
7.8492296;47.9906523;5;79098;Dreisamstraße;Mo 9 Uhr-12 Uhr, Mi 10 Uhr-15 Uhr und nach Vereinbarung;MBE Südwind Freiburg e. V.;Ankommen in Freiburg;;;;
7.85486;47.98805;39;79102;Hildastraße;Mo, Do, 10-14 Uhr; Di, Mi 14-16 Uhr;Sprache;;;;http://www.sprach-undcomputerkurse.de
7.79328;47.99795;31-49;79111;Rieselfeldallee;Mo-Do 8-17 Uhr, Fr 8-16 Uhr;Deutsche Angestellten-Akademie (DAA) Freiburg;Sprache;http://www.daa.de;;;
7.79328;47.99795;31;79111;Rieselfeldallee;telefonische Beratung und persönliche Termine nach Vereinbarung;Integrationskurse;Sprache;http://www.daa.de;;;
7.8115101;48.021186;5;79110;Linnstraße;nach Vereinbarung;Fördergesellschaft der Handwerkskammer Freiburg;Arbeit, Beruf, Ausbildung;http://www.foege-hwk.de;;;
7.8488283;47.9988006;37;79098;Friedrichring;Di 14 Uhr oder nach Absprache;Berlitz Deutschland GmbH;Sprache;http://www.berlitz.de/freiburg;;;
7.8375825;47.9867967;61;79100;Basler Straße;Mo: 14-16 Uhr;Unterschiede anerkennen - Vielfalt leben;Ehe, Familien, Partnerschaft;http://www.vielfalt-freiburg.net;;;
7.8226307;48.0049455;;79110;Sundgauallee 8 (Ecke Berliner Allee);Do 9.30-12.30 Uhr;FrauenSTÄRKEN im Quartier: Stadtteil Betzenhausen;Frauen und Mädchen;;;;
7.8977;47.9837;50;79106;Fehrenbachallee;Mo 9-12 Uhr;FrauenSTÄRKEN im Quartier: Stadtteil Stühlinger;Frauen und Mädchen;;;;
7.8371037;47.9843027;63;79100;Lorettostraße;Mo-Do 9-12 Uh;Diakonisches Werk, Wellcome;Ehe, Familien, Partnerschaft;http://www.wellcome-online.de;;;
7.84675;47.98812;14;79102;Schwarzwaldstraße;Mo-Mi 10-12 Uhr; Do 15-17 Uhr nur nach vorheriger telefonischer Terminvereinbarung;Helferkreis für Mutter und Kind e. V.;;;;http://www.helferkreis-freiburg.de
7.8226307;48.0049455;8;79110;Sundgauallee;;Jugendmigrationsdienst (JMD);Ankommen in Freiburg;http://www.jugendmigrationsdienst.de;;;
7.8386677;48.0034379;12;79106;Büggenreuterstraße;Mo, Di, Do 10-13 Uhr, 15-17 Uhr, Fr 10-13 Uhr;AIDS-Hilfe Freiburg e. V.;Gesundheit;http://www.aids-hilfe-freiburg.de;;;
7.8321302;48.0015472;14;79106;Fehrenbachallee;Di, Do 10.30 Uhr - 12.00 Uhr, sowie nach Vereinbarung;Geschäftsführende Schulleitung berufliche Schulen, Max-Weber-Schule;Schule;http://www.max-weber-schule.de;;;
7.8583;48.02279;346;79108;Zähringer Straße;Di 15-17 Uhr;FrauenSTÄRKEN im Quartier: Stadtteil Zähringen;Frauen und Mädchen;;;;
7.8488182;47.9948337;5;79098;Universitätsstraße;nach Vereinbarung;Sprachlehrinstitut der Albert-Ludwigs-Universität Freiburg (SLI);Studium;http://www.sli.uni-freiburg.de;;;
7.857562;48.0047295;14;79104;Jacobistr.;nach Vereinbarung;Amt für Migration und Integration - Abteilung 2 Integration;Flüchtlinge;;;;
7.8447135;47.9978182;5;79098;Poststraße;Mo-Fr 9-12 Uhr und nach Vereinbarung;Jule - Jugendberufshilfe für junge Mütter, IN VIA in der Erzdiözese Freiburg e. V.;Flüchtlinge;http://www.invia-freiburg.de;;;
7.84683;47.9821;6;79100;Schwaighofstr;;Psychotherapeutische Anlaufstelle für Migrant/-innen Freiburg (PAMF);;http://www.psf.dpv-psa.de/pamf.html;;;
7.8977;47.9837;25;79117;Kappler Straße;Di 9-12 Uhr;FrauenSTÄRKEN im Quartier: Stadtteil Littenweiler;Frauen und Mädchen;;;;
7.86995;47.99273;77;79106;Karteuserstraße;Mo 9-12 Uhr, 14-18 UhrDi 8-12 Uhr, 14-17 UhrMi 9-12 Uhr, 14-18 UhrDo 8-12 Uhr, 14-17 UhrFr 9-12 Uhr, 14-16 Uhr;ANKER-Gruppe für Kinder, die mit ihren Eltern geflohen sind;Flüchtlinge;http://www.maks-freiburg.de;;;
7.81838;47.99218;9b;79115;Melanchthonweg;Di 9.30-12.30 Uhr;FrauenSTÄRKEN im Quartier: Stadtteil Haslach;Frauen und Mädchen;;;;
7.83802;47.99272;11-13;79098;Schnewlinstraße;;Industrie- und Handelskammer Südlicher Oberrhein;Arbeit, Beruf, Ausbildung;http://www.suedlicher-oberrhein.ihk.de;;;
7.8366691;47.9950079;73;79098;Klarastraße;;Ahmadiyya Muslim Jamaat - Freiburg;Migrantenvereine;http://www.ahmadiyya-freiburg.de;;;
7.8650321;48.0036985;12;79104;Immentalstraße;nach Vereinbarung;Projektverbund Baden - Arbeit und Ausbildung für Flüchtlinge;Flüchtlinge;http://www.projektverbund-baden.de;;;
7.83802;47.99272;11-13;79098;Schnewlinstraße;Mo-Do 09-16:30 Uhr, Fr 09-16 Uhr; nach Absprache;Industrie- und Handelskammer Südlicher Oberrhein;;;;http://www.suedlicher-oberrhein.ihk.de
7.8558194;47.9901601;9;79098;Poststraße;Mo-Fr 9-12 Uhr und nach Vereinbarung;Internationaler Mädchen- und Frauentreff;Frauen und Mädchen;http://www.invia-freiburg.de;;;
7.8244917;48.0007785;9f;79114;Bissierstr.;;Get Together Projekt, Deutsches Rotes Kreuz Kreisverband Freiburg;Flüchtlinge;http://www.drk-freiburg.de/angebote/migration_-_suchdienst/get_together.html;;;
7.8226307;48.0049455;48;79110;Habichtweg;Mi 9.30-12.30 Uhr;FrauenSTÄRKEN im Quartier: Stadtteil Landwasser;Frauen und Mädchen;;;;
7.8536555;47.9975672;1;79098;Auf der Zinnen;Mo 8-11.30 Uhr, Mi 8-11.30 Uhr, Do 8-11.30 Uhr sowie nach Terminvereinbarung;Amt für Wohnraumversorgung;Wohnen;;;;
7.8520221;48.0116545;12;79104;Immentalstr.;;Erstanlaufstelle und Kompetenzzentrum Anerkennungsberatung;Arbeit, Beruf, Ausbildung;;;;
7.8102699;47.9941531;7;79114;Krozinger Straße;Mo, Mi, Do 10-12.30 Uhr und nach Vereinbarung;Diakonisches Werk Freiburg: Arbeitslosenberatung;Arbeit, Beruf, Ausbildung;http://www.goethe2.de;;;
7.8554475;48.0107351;9;79104;Habsburgerstraße;Di, Mi, Do 10-15 UhrTermine nur n. vorheriger Vereinbarung;friga e. V.;Arbeit, Beruf, Ausbildung;http://www.lagalo.de;;;
7.8532714;47.9960214;17;79098;Münsterplatz;Di 10-13 u. 14-18 Uhr; Mi 14-17 Uhr;;;;;Wegweiser Bildung - WeBi
7.84732;47.99618;12;79098;Rotteckring;Mo-Do 10-12; Mo, Di, Do 15-17 Uhr;Sprache;;;;http://www.vhs-freiburg.de
7.8557035;48.000137;16;79104;Karlstraße;Jeden Dienstag 10-12 Uhr; größere Gruppen: bitte einen Sondertermin unter 0761/ 201-7251 oder 201-7019 vereinbaren.;Schule;;;;
7.8481;47.99927;39;79098;Friedrichstraße;;International Office - Büro für internationale Beziehungen;Studium;https://www.international.uni-freiburg.de/;;;
7.849;47.99605;2-4;79098;Rathausplatz;Mo, Di, Do, Fr 8-12 Uhr, Mi 9-17 Uhr;Standesamt;Ehe, Familien, Partnerschaft;http://www.freiburg.de/standesamt;;;
